Carnobacterium mobile DSM 4848
Rhabdonatronobacter sediminivivens
Bifidobacterium cuniculi
Parapedobacter defluvii
Methylobrevis albus
Planococcus citri
Gottfriedia solisilvae
Acinetobacter modestus
Drosophila gunungcola
Flagellimonas crocea
[Clostridium] ammoniilyticum
Aeromicrobium halocynthiae
Hoeflea alexandrii
Paenibacillus septentrionalis
Dactylosporangium vinaceum
Dendrolimus houi
Longitarsus flavicornis
Pleurotus sapidus
Saccharicrinis aurantiacus
Paeniglutamicibacter kerguelensis
Campylobacter troglodytis
Acrochordus granulatus
Tortispora sangerardonensis
Streptomyces fuscus
Rhizobium acidisoli
Arthrobacter pullicola
Natrinema salifodinae
Proteocatella sphenisci DSM 23131
Staphylospora marina
Siren sphagnicola
Halorhabdus amylolytica
Mycobacterium dioxanotrophicus
Capitella teleta
Nesterenkonia aurantiaca
Pseudomonas inefficax
Microthlaspi erraticum
Marseilla massiliensis
Candidatus Propionivibrio aalborgensis
Aspidoscelis angusticeps
[Candida] digboiensis
Trametes pubescens
Chengkuizengella marina
Bycanistes fistulator
Pyrrhopyge aziza lexos
Metarhizium hybridum
Thunnus orientalis
Natrinema pallidum
Jeotgalicoccus saudimassiliensis
Picathartes gymnocephalus
Methylophilus luteus
Planomonospora corallina
Megaleporinus macrocephalus
Trachypithecus poliocephalus
Gorilla beringei
Fringilla coelebs
Actinomadura mexicana
Bradyrhizobium acaciae
Maribacter flavus
Botrytis paeoniae
Dietzia timorensis
Bacteroides eggerthii
Leptoglossus phyllopus
Hydropotes inermis
Candidatus Rhabdochlamydia oedothoracis
Cupido argiades
Avibacterium avium
Boiga ceylonensis
Eucryptorrhynchus scrobiculatus
Maribacter ulvicola
Penicillium macrosclerotiorum
Epichloe scottii
Salegentibacter chungangensis
Pigmentiphaga aceris
Thiomicrorhabdus indica
Aspilapteryx tringipennella
Halovivax limisalsi
Deinococcus betulae
Paxillus involutus ATCC 200175
Aelia acuminata
Brevibacillus antibioticus
Siphamia tubifer
Exutisphaerella laricina CBS 326.52
Crepidotus calolepis
Cataglyphis hispanica
Pseudopithomyces maydicus
Sphingosinithalassobacter portus
Flaviflexus ciconiae
Terrabacter terrigena
Sebastes iracundus
Dyella amyloliquefaciens
Serinus syriacus
Sphingomonas piscis
Confluentibacter sediminis
Roseovarius phycicola
Chalciporus pseudorubinellus
Roseovarius aestuarii
Rossellomorea vietnamensis
Kribbella sandramycini
Parastichtis suspecta
Ascosphaera apis ARSEF 7405
Oryza rufipogon
Fictibacillus iocasae
Anaeromyxobacter oryzisoli
Hypoplectrus unicolor
Coniophanes schmidti
Legionella tucsonensis
Drosophila americana
Wolbachia endosymbiont (group A) of Yponomeuta plumbellus
Ischnoderma resinosum
Xanthomonas hydrangeae
Lacticaseibacillus paracasei subsp. paracasei 8700:2
Parasedimentitalea psychrophila
Colletotrichum filicis
Natronoarchaeum philippinense
Bifidobacterium apicola
Peltaster fructicola
Hibiscus mutabilis
Camelina laxa
Martensiomyces pterosporus
Jiella sonneratiae
Frankliniella fusca
Rubrobacter tropicus
Acetobacteroides hydrogenigenes
Microbulbifer yueqingensis
Lycodon carinatus
Sarotherodon galilaeus
Pythium utonaiense
Cumulibacter manganitolerans
Lodderomyces beijingensis
Udea olivalis
Melanotaenia caerulea
Wickerhamomyces strasburgensis
Bathelium carolinianum
Crenobacter caeni
Frangula azorica
Penicillium nucicola
Vibrio taketomensis
Brachymonas denitrificans DSM 15123
Paraburkholderia sacchari
Cecropterus evenus
Pseudoduganella lutea
Catalinimonas alkaloidigena
Speoplatyrhinus poulsoni
Flavobacterium cellulosilyticum
Sphingomonas citri
Pantoea phytobeneficialis
Bryconaethiops microstoma
Jidongwangia harbinensis
Streptomyces puniciscabiei
Clavibacter lycopersici
Euoniticellus fulvus
Limosilactobacillus walteri
Proteiniclasticum ruminis DSM 24773
Notiomystis cincta
Streptomyces ficellus
Nocardioides antri
Shewanella canadensis
Calonectria henricotiae
Shigella flexneri 2a str. 301
Glaesserella parasuis
Nitrosomonas nitrosa
Streptococcus lutetiensis
Crambe hispanica
Selenihalanaerobacter shriftii
Grayia smithii
Globisporangium megalacanthum
Thermochromatium tepidum ATCC 43061
Microvirgula aerodenitrificans
Brevibacillus aydinogluensis
Pseudohalioglobus sediminis
Cupriavidus pauculus
Marasmius tenuissimus
Desulfovibrio oxyclinae DSM 11498
Salinicola halophyticus
Drosophila ezoana
Stegodyphus sarasinorum
Pseudomonas machongensis
Globisporangium echinulatum
Hypena obsitalis
Paraburkholderia panacisoli
Furnarius rufus
Acrossocheilus fasciatus
Rhinolophus rex
Streptomyces morookaense
Carabodes femoralis
Amycolatopsis carbonis
Corynebacterium mycetoides
Agelas conifera
Rhizobium straminoryzae
Ciona savignyi
Sisor rabdophorus
Pterula multifida
Thiothrix unzii
Trialeurodes vaporariorum
Thermogemmatispora tikiterensis
Arsukibacterium ikkense
Erwinia piriflorinigrans CFBP 5888
Dalla cyprius quinka
Clostridium tunisiense TJ
Haloactinopolyspora alba
Geomonas fuzhouensis
Cyclobacterium xiamenense
Undibacterium rugosum
Mico argentatus
Caulerpa lentillifera
Dalbergia oliveri
Bacillus chungangensis
Paenibacillus guangzhouensis
Drosophila pullipes
Cronartium quercuum f. sp. fusiforme G11
Thermus amyloliquefaciens
Heliconius leucadia
Levilactobacillus parabrevis
Plastoroseomonas arctica
Tyrannus crassirostris
Exbucklandia tonkinensis
Corynebacterium guaraldiae
Candidatus Synechococcus spongiarum LMB bulk15N
Dokdonia genika
Ruminococcus turbiniformis
Caenorhabditis auriculariae
Polytrichastrum sexangulare
Pseudomonas ekonensis
Azonax typhaon
Nocardia terpenica
Vezdaea aestivalis
Luscinia svecica
Gemelliphila asaccharolytica
Denitrobaculum tricleocarpae
Hyaloperonospora brassicae
Planctomicrobium piriforme
Heliconius ricini
Nocardiopsis alborubida NBRC 13392
Naso brachycentron
Paenibacillus durus
Winogradskyella pulchriflava
Alexandromys oeconomus
Clavibacter michiganensis
Giesbergeria sinuosa
Arenibacter echinorum
Barnettozyma salicaria
Camillea tinctor
Acinetobacter albensis
Pleurotus citrinopileatus
Pseudodonghicola flavimaris
Eupithecia insigniata
Juglans sigillata
Chryseobacterium herbae
Agriotes mancus
Sphingobium phenoxybenzoativorans
Streptococcus halotolerans
Thermoflavifilum thermophilum
Mycolicibacterium austroafricanum
Oceanospirillum beijerinckii DSM 7166
Hypoxylon cercidicola
Drosophila limbata
Nostoc flagelliforme CCNUN1
Leptotrichia hofstadii
Campylobacter hyointestinalis subsp. lawsonii
Spialia galba
Trypanosoma mega
Hypomyces perniciosus
Narcine bancroftii
Youxingia wuxianensis
Beutenbergia cavernae DSM 12333
Tricholoma bakamatsutake
Liacarus coracinus
Nitrosovibrio tenuis
Aspergillus terreus NIH2624
Levilactobacillus lindianensis
Salinilacihabitans rarus
Thalassomonas actiniarum
Gambusia yucatana
Arcanobacterium ihumii
Pseudomonas graminis
Russula brevipes
Cercococcyx olivinus
Rinodina tephraspis
Clostridium massiliodielmoense
Porochilus rendahli
Peptostreptococcus canis
Coniochaeta prunicola
Parelbella machaon machaon
Negativibacillus massiliensis
Calidris pygmaea
Rhodovulum sulfidophilum DSM 1374
Haliastur indus
Amylolactobacillus amylophilus DSM 20533 = JCM 1125
Nocardioides luteus
Allochrocebus preussi
Desulfitobacterium chlororespirans DSM 11544
Julidochromis marlieri
Anaerococcus faecalis
Hyparrhenia diplandra
Rhizobium beringeri
Desmognathus santeetlah
Hirudo nipponia
Ophyiulus pilosus
Azorhizophilus paspali
Acinetobacter nectaris CIP 110549
Hypogastrura burkilli
Prototroctes maraena
Curtobacterium poinsettiae
Heliconius hewitsoni
Facivitalis istanbulensis
Grus grus
Microtus pennsylvanicus
Solanum habrochaites
Chitinophaga japonensis
Vibrio zhugei
Bacillus methanolicus PB1
Quercus phellos
Cyanistes caeruleus
Iodidimonas gelatinilytica
Neobacillus dielmonensis
Kaistia granuli DSM 23481
Tellurirhabdus rosea
Baylisascaris schroederi
Pseudaminobacter arsenicus
Eudonia murana
Thiomicrorhabdus cannonii
Sphingobium sufflavum
Xylanibacillus composti
Anaerococcus murdochii
Desmognathus kanawha
Caenorhabditis uteleia
Lentzea sokolovensis
Pithecia vanzolinii
Sicyos galeottii
Natroniella acetigena
Pollutimonas nitritireducens
Erythroxylum pedicellare
Cyprinodon diabolis
Falsiroseomonas oryziterrae
Bacteroides reticulotermitis
Glutamicibacter mishrai
Rallus crepitans
Nocardioides ginsengisoli
Russula foetens
Fusarium zealandicum
Anania coronata
Bacillus haikouensis
Kocuria varians
Psychrobacter proteolyticus
Treponema lecithinolyticum ATCC 700332
Neuroterus valhalla
Geococcyx californianus
Methanocorpusculum labreanum Z
Domibacillus aminovorans
Allofrancisella frigidaquae
Psittacus timneh
Agrotis clavis
Candidatus Nitrospira nitrificans
Drosophila auraria
Macrothele yani
Histoplasma mississippiense (nom. inval.)
Polluticaenibacter yanchengensis
Fusarium parabolicum
Halobacillus karajensis
Accipiter rufitorques
Ideonella azotifigens
Sulfurimonas aquatica
Cyanobium gracile PCC 6307
Fusarium piperis
Camponotus vicinus
Chordeiles acutipennis
Gymnocephalus cernua
Mameliella alba
Cataglyphis holgerseni
Eimeria falciformis
Rhodococcus phenolicus
Marinitoga aeolica
Hemaris fuciformis
Pseudooceanicola onchidii
Streptomyces tuirus
Listeria ivanovii subsp. ivanovii
Arbutus menziesii
Brevibacillus daliensis
Euglena gracilis
Maratus speciosus
Abeliophyllum distichum
Anaerobutyricum hallii
Bathybates minor
Demequina subtropica
Mycobacterium botniense
Tilletia controversa
Pontibaca methylaminivorans
Sarracenia leucophylla
Paenibacillus planticolens
Desulfatirhabdium butyrativorans DSM 18734
Simplicispira sedimenti
Riccia sorocarpa
Anaeropeptidivorans aminofermentans
Methylobacterium tarhaniae
Formosa agariphila KMM 3901
Herbinix luporum
Baylisascaris ailuri
Drosophila subquinaria
Paracoccus caeni
Pardalotus punctatus
Bacillus pretiosus
Sphingopyxis lindanitolerans
Entodinium bursa
Acanthosoma haemorrhoidale
Agriopis leucophaearia
Qipengyuania oceanensis
Rhodobacter xanthinilyticus
Limosilactobacillus pulli
Candidatus Frankia alpina
Anania hortulata
Streptomyces mooreae
Lentibacillus kapialis
Scaptodrosophila scaptomyzoidea
Propionispora hippei DSM 15287
Limibacillus halophilus
Cladopsammia gracilis
Ara rubrogenys
Dallia pectoralis
Ochetobius elongatus
Aquaspirillum serpens DSM 68
Wolbachia endosymbiont (group B) of Agriphila tristella
Furcasterigmium furcatum
Bettongia penicillata ogilbyi
Methanocorpusculum vombati
Plasmodium gonderi
Junonia oenone
Diaporthe australafricana
Companilactobacillus zhachilii
Gemmata massiliana
Salibaculum halophilum
Geobacter metallireducens GS-15
Helicobacter japonicus
Rubripirellula tenax
Altererythrobacter litoralis
Azohydromonas aeria
Gilbertella persicaria
Clostridium drakei
Clostridium carboxidivorans P7
[Candida] pseudocylindracea
Basfia succiniciproducens
Phytophthora ramorum
Congregibacter brevis
Bocquillonia castaneifolia
Caracal caracal
Amphilophus citrinellus
Aestuariibius insulae
Desulfosalsimonas propionicica
Mycoplasmopsis ciconiae
Trematomus scotti
Natranaerobius trueperi
Allopseudospirillum japonicum
Flavobacterium ranwuense
Pristipomoides typus
Lujinxingia litoralis
Sphingomonas daechungensis
Thiopseudomonas denitrificans
Actinobacillus vicugnae
Sandaracinobacteroides hominis
Haemophilus aegyptius
Epinephelus coioides
Hoplodrina ambigua
Macadamia integrifolia
Borreliella valaisiana VS116
Paenisporosarcina cavernae
Pseudoteredinibacter isoporae
Rubus parviflorus
Branchellion lobata
Melanotaenia affinis
Actinomadura madurae
Tylopilus alboater
Mycoplasmopsis columbina
Urbanus velinus
Perca fluviatilis
Tepidibacter hydrothermalis
Candidatus Mycoplasma mahonii
Rosenbergiella gaditana
Ochotona princeps
Macrotus californicus
Culicoides stellifer
Kineococcus rubinsiae
Lactobacillus acetotolerans
Leisingera thetidis
Salinicola halophilus
Arthrobacter hankyongi
Neisseria oralis
Cercopithecus nictitans
Lentisalinibacter salinarum
Streptococcus pasteurianus
Aureimonas altamirensis DSM 21988
Dictyobacter halimunensis
Saezia sanguinis
Alteribacter lacisalsi
Mycoplasma simbae ATCC 49888
Mangrovivirga halotolerans
Nyctanthes arbor-tristis
Velocimicrobium porci
Arthrobacter pigmenti
Vibrio alfacsensis
Samsonia erythrinae
Bifidobacterium leontopitheci
Carollia perspicillata
Suricata suricatta
Reticulascus tulasneorum
Bolla brennus
Kandeliimicrobium roseum
Actinokineospora xionganensis
Massilibacillus massiliensis
Labedella endophytica
Chitinophaga ginsengisoli
Micromonospora globbae
Eidolon dupreanum
Pontibacter cellulosilyticus
Fuscovulum blasticum
Kwoniella bestiolae CBS 10118
Candidatus Mycoplasma haematobovis
Eucalyptus marginata
Montifringilla nivalis
Xenorhabdus aichiensis
Pedobacter polysacchareus
Streptomyces rubradiris
Eupelops torulosus
Pseudomonas guineae
Halapricum desulfuricans
Erwinia billingiae Eb661
Peptacetobacter hiranonis
Deinobacterium chartae
Flocculibacter collagenilyticus
Apodemia virgulti
Chitinophaga oryziterrae
Rubripirellula reticaptiva
Naganishia uzbekistanensis
Kalanchoe fedtschenkoi
Glutamicibacter soli
Cupressus sempervirens
Halomonas llamarensis
Kodamaea derodonti
Endothia cerciana
Emesis vulpina
Pseudomonas poae RE*1-1-14
Pajaroellobacter abortibovis
Pontibacterium sinense
Caproiciproducens galactitolivorans
Streptomyces solisilvae
Blastobasis lacticolella
Corinectria fuckeliana
Capillidium rhysosporum
Rheinheimera aquimaris
Spiroplasma ixodetis Y32
Mesomycoplasma neurolyticum
Novosphingobium beihaiensis
Dendrocopos noguchii
Gordonia zhenghanii
Sclerophrys maculata
Bradysia pectoralis
Azospirillum agricola
Haloquadratum walsbyi DSM 16790
Harmonia axyridis
Pontibacter kalidii
Clostridium moniliforme
Candidatus Pseudomonas adelgestsugas
Anthophora quadrimaculata
Ceratogymna atrata
Corynebacterium pilosum
Virgibacillus pantothenticus
Cephus fumipennis
Lactococcus cremoris subsp. cremoris KW2
Arcanobacterium wilhelmae
Acacia acuminata
Ardea alba
Gordonia sesuvii
Neobacillus paridis
Onychostoma macrolepis
Curtobacterium flaccumfaciens
Xanthomonas hawaiiensis
Caerostris extrusa
Polychrysia moneta
Rotaria sordida
Phalacrocorax carbo
Caloramator fervidus
Dipteronia dyeriana
Stieleria neptunia
Chryseobacterium limigenitum
Oceanospirillum linum
Taeniamia biguttata
Scomberomorus guttatus
Streptomyces mashuensis
Salana multivorans
Glaucopsyche alexis
Silurus meridionalis
Roseomonas vinacea
Saccharomyces pastorianus
Faecalicatena contorta
Microlunatus flavus
Malassezia furfur
Bradymyces pullus
Paenibacillus silvae
Homoeosoma sinuella
Hymenoscyphus occultus
Pantoea vagans
Prevotella jejuni
Eimeria zaria
Ndongobacter massiliensis
Morpho deidamia
Lachancea waltii
Pygathrix nemaeus
Cyberlindnera sylvatica
Philopedon plagiatum
Trionymus perrisii
Apocheima hispidaria
Aquabacterium parvum
Petroica traversi
Saccharopolyspora antimicrobica
Helicobacter brantae
Achromobacter pulmonis
Oncometopia orbona
Orthochromis mazimeroensis
Bhargavaea changchunensis
Pyrrhopyge schausi
Candidatus Endowatersipora endosymbiont of Watersipora subatra
Cercopithecus cephus
Clostridium boliviensis
Magnusiomyces starmeri
Jatrophihabitans cynanchi
Acutalibacter muris
Adineta vaga
Altericroceibacterium endophyticum
Mesorhizobium humile
Amphimedon queenslandica
Mesobacillus maritimus
Cytospora paraplurivora
Enterobacteriaceae endosymbiont of Donacia sparganii
Bacteroides mediterraneensis
Leclercia adecarboxylata
Mycoplasma corogypsi
Massilia niastensis DSM 21313
Varanus albigularis
Acinetobacter parvus DSM 16617 = CIP 108168
Sphaerotilus hippei
Talaromyces atroroseus
Trichophyton yaoundei
Rheinheimera tilapiae
Candidatus Odyssella thessalonicensis L13
Methylomonas rivi
Sebastes rosenblatti
Carex hirta
Anaerococcus groningensis
Lentinula raphanica
Nonlabens arenilitoris
Micromesistius poutassou
Filobasidium floriforme
Adlercreutzia murintestinalis
Nonomuraea salmonea
Marinoscillum luteum
Diarsia dahlii
Cardiocondyla obscurior
Chryseobacterium echinoideorum
Parotocinclus spilosoma
Sporosarcina soli
Winogradskyella luteola
Paraburkholderia caffeinitolerans
Paracidovorax cattleyae
Hymenoscyphus albidus
Tetramorium immigrans
Sinocyclocheilus grahami
Cerceris ruficornis
Cyphellophora europaea CBS 101466
Drosophila yooni
Oryza glaberrima
Anoplopoma fimbria
Isoalcanivorax beigongshangi
Planomonospora parontospora subsp. parontospora
Pestalotiopsis microspora
Spatula versicolor
Sphingobacterium spiritivorum
Wolbachia endosymbiont of Drosophila innubila
Monarda citriodora
Odoribacter laneus YIT 12061
Neolewinella antarctica
Ureibacillus suwonensis
Stappia albiluteola
Liposcelis brunnea
Arrhopalites spinosus
Akanthomyces uredinophilus
Acytostelium subglobosum LB1
Castanea mollissima
Halopiger djelfimassiliensis
Mycoplasma phocoeninasale
Phodopus roborovskii
Aromatoleum buckelii
Takakia lepidozioides
Salix viminalis
Corvus hawaiiensis
Neobacillus kokaensis
Micromonospora halotolerans
Pseudomonas sessilinigenes
Tetragnatha montana
Marivirga lumbricoides
Angomonas deanei
Geobacter benzoatilyticus
Asconema megaatrialia
Kodamaea nitidulidarum
Wickerhamiella sorbophila
Marichromatium purpuratum 984
[Candida] alai
Streptomyces oryzae
Campylobacter subantarcticus LMG 24377
Hoplias malabaricus
Telluria mixta
Paenibacillus urinalis
Passiflora edulis
Lentinula edodes
Crassostrea virginica
Sonneratia alba
Candidatus Phytoplasma mali
Listeria kieliensis
Setaria viridis
Winogradskyella psychrotolerans RS-3
Entomospira nematocerorum
Ambispora gerdemannii
Prevotella herbatica
Denitratisoma oestradiolicum
Triglochin palustris
Iodidimonas muriae
Halalkalicoccus ordinarius
Streptomyces marispadix
Lasiodiplodia mahajangana
Paenibacillus albiflavus
Actinocatenispora sera
Lactobacillus isalae
Microlunatus spumicola
Polynucleobacter finlandensis
Bifidobacterium parmae
Hydrogenophaga crassostreae
Kushneria phyllosphaerae
Wickerhamomyces lynferdii
Paraplagusia blochii
Dactylosporangium maewongense
Arcobacter roscoffensis
Oricola nitratireducens
Penicillium coprophilum
Macrococcus bovicus
Arthrobacter echini
Phocaeicola intestinalis
Lampetra fluviatilis
Silene noctiflora
Micromonospora arida
Sulfuriferula nivalis
Saccharolobus shibatae B12
Streptohalobacillus salinus
Acomys minous
Enterobacter quasiroggenkampii
Maribacter vaceletii
Microbacterium luteolum
Cohnella luojiensis
Tipula fascipennis
Gynandropsis gynandra
Propionicimonas paludicola
Drosophila planitibia
Streptomyces alboverticillatus
Fusarium torulosum
Sulfitobacter marinus
Arthrinium phaeospermum
Ureaplasma diversum
Yamadazyma dushanensis
Mycobacterium parascrofulaceum ATCC BAA-614
Ideonella alba
Heliconius eratosignis
Natronococcus occultus SP4
Natranaerovirga pectinivora
Paranoxybacillus vitaminiphilus
Leptospira tipperaryensis
Aeromicrobium phoceense
Drosophila silvestris
Neolamprologus devosi
Phialemonium atrogriseum
Deinococcus aerophilus
Cephus parvus
Bifidobacterium polysaccharolyticum
Acrobeloides nanus
Wolbachia endosymbiont (group A) of Machimus atricapillus
Caballeronia catudaia
Ottelia alismoides
Planobispora siamensis
Streptomyces composti
Ancylobacter moscoviensis
Apodemia nais
Companilactobacillus pabuli
Methanospirillum hungatei JF-1
Crenothrix polyspora
Nocardioides acrostichi
Ancylobacter tetraedralis
Clostridium porci
Cellvibrio japonicus Ueda107
Gossypium lobatum
Zaprionus taronus
Legionella maceachernii
Limonomyces culmigenus
Zwartia panacis
Bifidobacterium bombi DSM 19703
Hymenoscyphus herbarum
Leishmania utingensis
Dracogyra subfuscus
Thalassococcus lentus
[Candida] awuae
Staphylococcus simiae
Thermacetogenium phaeum DSM 12270
Deinococcus aquiradiocola
Thalassiosira oceanica
Eurycea cirrigera
Acetabularia acetabulum
Arachis stenosperma
Cercopithecus diana
Pongo pygmaeus
Desulfovibrio inopinatus DSM 10711
Pseudomyrmex pallidus
Kangiella japonica
Prevotella ihumii
Paracoccus albicereus
Disparrhopalites patrizii
Sphingopyxis soli
Pterygophora californica
Actinomadura litoris
Duganella flavida
Hippocampus trimaculatus
Trabulsiella guamensis ATCC 49490
Ruminococcus hominis
Cutaneotrichosporon cutaneum
Sinomonas notoginsengisoli
Cetonia aurata
Sphingomonas changbaiensis NBRC 104936
Companilactobacillus paralimentarius
Xanthomonas cucurbitae
Pseudoxanthomonas suwonensis
Echinicola rosea
Dorea formicigenerans
Candidatus Rhodobacter oscarellae
Knoellia aerolata DSM 18566
Shewanella woodyi ATCC 51908
Terribacillus saccharophilus
Candidatus Protochlamydia phocaeensis
Napeogenes sylphis
Photobacterium aphoticum
Dyadobacter flavalbus
Boletus roseobadius
Kistimonas scapharcae
Lactifluus hygrophoroides
Stereochilus marginatus
Celeribacter naphthalenivorans
Paenirhodobacter enshiensis
Drosophila seclusa
Primula vulgaris
Solemya elarraichensis gill symbiont
Aerococcus mictus
Adranes taylori
Guyanaporus albipodus
Sunxiuqinia dokdonensis
Napeogenes inachia
Nocardioides yefusunii
Sebastes reedi
Candidatus Clavichlamydia salmonicola
Schistocephalus solidus
Lyophyllum atratum
Globisporangium nodosum
Nocardia niwae NBRC 108934 = DSM 45340
Altolamprologus calvus
Spongiibacter marinus
Halomonas lysinitropha
Diretmoides pauciradiatus
Membranihabitans maritimus
Methylobacterium litchii
Helianthus annuus
Actinomyces qiguomingii
Congregibacter litoralis KT71
Anopheles nili
Chlorociboria aeruginascens
Idaea trigeminata
Angomonas desouzai
Erebia albergana
Nocardioides flavescens
Dasysyrphus albostriatus
Paenibacillus cookii
Pyrrhopyge evansi evansi
Peptoniphilus catoniae
Jiangella aurantiaca
Streptomyces monticola
Coelastrum proboscideum var. gracile
Solanum appendiculatum
Dolichospermum flos-aquae CCAP 1403/13F
Gracilibacillus boraciitolerans JCM 21714
Sebastes zonatus
Dugesia japonica
Paenibacillus sedimenti
Danionella dracula
Haplochromis sauvagei
Aromatoleum toluclasticum ATCC 700605
Oxyplasma meridianum
Metamycoplasma gateae
Arion ater rufus
Litoreibacter ascidiaceicola
Pseudoduganella buxea
Marinobacter arenosus
Leptospira montravelensis
Aspergillus candidus
Dermacoccus nishinomiyaensis
Capnocytophaga canimorsus
Xerocomus cyaneibrunnescens
Ormyrus thymus
Porphyromonas gulae
Eupeodes latifasciatus
Nonomuraea pusilla
Benthochromis horii
Acrocarpospora macrocephala
Streptosporangium pseudovulgare
Scandinavium tedordense
Phyllostomus discolor
Rhizobium cauense
Hirschioporus abietinus
Ceratosolen fusciceps
Strongyloides venezuelensis
Bacillus luti
Spatula puna
Brustiarius solidus
Calothrix anomala FACHB-343
Sinirhodobacter ferrireducens
Warburgia ugandensis
Oithona nana
Tethya minuta
Pelomyxa schiedti
Massilia violaceinigra
Methylorubrum aminovorans
Allodekkera sacchari
Inonotus obliquus
Cuscuta campestris
Thioalkalivibrio halophilus
Pedobacter deserti
Dinghuibacter silviterrae
Mastigias albipunctata
Rhodoplanes elegans
Stegophilus panzeri
Geodermatophilus poikilotrophus
Polymorphobacter arshaanensis
Todus mexicanus
Evernia divaricata
Alternaria conjuncta
Xenotilapia tenuidentata
Parazoanthus atlanticus
Nematopogon swammerdamellus
Aratinga weddellii
Placynthium petersii
Pararoseomonas baculiformis
Arenicella xantha
Falco concolor
Tepidicella baoligensis
Catharanthus roseus
Acinetobacter kyonggiensis
Palleronia pontilimi
[Candida] namnaoensis
Rickettsia typhi str. Wilmington
Leptoseris scabra
Mycolicibacterium septicum
Sphingobacterium lactis
Oceanivirga salmonicida
Haloimpatiens massiliensis
Lactococcus garvieae
Massilia frigida
Agromyces aurantiacus
Saccharothrix algeriensis
Tomitella fengzijianii
Polistes canadensis
Alkalibacter rhizosphaerae
Allorhizobium undicola ORS 992 = ATCC 700741
Nocardia shimofusensis NBRC 100134
Acanthamoeba pearcei
Sarcophaga peregrina
Xanthobacter tagetidis
Deinococcus sedimenti
Hydnomerulius pinastri MD-312
Pertusaria ostiolata
Macrophya alboannulata
Corallococcus macrosporus DSM 14697
Koleobacter methoxysyntrophicus
Crenobacter intestini
Clarireedia jacksonii
Virgibacillus salexigens
Micromonospora kangleipakensis
Rhodococcus antarcticus
Pseudomonas caricapapayae
Cytobacillus solani
Sungouiozyma ichnusensis
Alkalihalophilus marmarensis DSM 21297
Spirosoma profusum
Ureaplasma parvum serovar 3 str. ATCC 27815
Sodalis ligni
Buphagus erythrorhynchus
Allantophomopsis cytisporea
Ancylobacter vacuolatus
Naja nigricollis
Pleurotus eryngii var. eryngii
Chlamydia avium
Granulicella cerasi
Limnobacter litoralis
Ligilactobacillus cholophilus
Anas crecca
Dethiosulfatibacter aminovorans DSM 17477
Flavobacterium beibuense F44-8
Aspergillus ustus
Cryomorpha ignava
Sesamum calycinum
Penicillium samsonianum
Trichophyton interdigitale
Amycolatopsis lexingtonensis
Tenacibaculum xiamenense
Neisseria chenwenguii
Gurania insolita
Fontibacillus panacisegetis
Mycetocola tolaasinivorans
Pegoplata infirma
Mesosutterella multiformis
Pugionium dolabratum
Ferdinandea cuprea
Micrastur ruficollis
Acinetobacter terrestris
Theodoxus fluviatilis
Mycolicibacterium holsaticum DSM 44478 = JCM 12374
Eurytides marcellus marcellus
Neoarius paucus
Tinea trinotella
Leptothrix cholodnii SP-6
Vagococcus carniphilus
Microbacterium binotii
Campylobacter anatolicus
Hymenobacter glaciei
Planotetraspora phitsanulokensis
Bacillus canaveralius
Oreocharis arfaki
Microbacterium invictum
Bradyrhizobium centrosematis
Orobanche coerulescens
Bifidobacterium saguinibicoloris
Dokdonella ginsengisoli
Pelagovum pacificum
Echeveria elegans
Fusobacterium animalis
Limanda limanda
Aureimonas glaciei
Fusarium sacchari
Lentzea tibetensis
Citrus cavaleriei
Orphe vatinius
Dasytricha ruminantium
Amycolatopsis albidoflavus
Oceanobacillus manasiensis
Heliconius heurippa
Streptomyces yangpuensis
Sungkyunkwania multivorans
Sphingobium estronivorans
Tropheus annectens
Ketogulonicigenium robustum
Mycolicibacterium wolinskyi
Streptomyces bauhiniae
Thermoactinomyces vulgaris
Aeromonas encheleia
Stenichneumon culpator
Anilios bituberculatus
Blastomonas natatoria
Nocardioides rubriscoriae
Campylobacter hominis ATCC BAA-381
Streptomyces coeruleoprunus
Psychrobacter cryohalolentis K5
Croceibacter atlanticus HTCC2559
Microbulbifer agarilyticus
Malurus alboscapulatus
Lycaon pictus
Magnusiomyces clavatus CNRMA 12.647
Scorias spongiosa
Phallus indusiatus
Microbacterium terrisoli
Megaceryle alcyon
Boletus edulis BED1
Rotaria macrura
Hufsiella ginkgonis
Lysobacter niastensis
Fructobacillus apis
Mycobacterium bouchedurhonense
Oleiagrimonas citrea
Streptomyces humicola
Azospirillum halopraeferens DSM 3675
Bos javanicus
Dokdonia sinensis
Mesembrinibis cayennensis
Sungouiella thailandica
Nocardiopsis ansamitocini
Pseudomonas syringae pv. tagetis
Esteya vermicola
Treponema endosymbiont of Eucomonympha sp.
Dicranocentrus wangi
Leptospira neocaledonica
Heliopora coerulea
Phytophthora ornamentata
Falco dickinsoni
Pseudomonas aestiva
Lithophaga nigra
Micropsitta keiensis
Helicobacter felis ATCC 49179
[Clostridium] hylemonae
Apiospora pterosperma
Azohydromonas caseinilytica
Myxozyma vanderwaltii
Chymomyza amoena
Sphingomonas lutea
Phytophthora intricata
Ramalina menziesii
Mucilaginibacter ginsenosidivorax
Psilocybe zapotecorum
Methylomicrobium album BG8
Kurtzmaniella natalensis
Aerococcus agrisoli
Beggiatoa leptomitoformis
